Delay Poison,Adp 2; Brd 2; Clr 2; Drd 2; Pal 2; Rgr 1, Conjuration/Spirit/Water, , V S DF, 1 standard action, 1 hour/level, Touch, Fortitude negates (harmless), Yes (harmless), Stops poison from harming subject fors1 hour/level.
Wind Walk,Clr 6; Drd 7, Transmutation/Water/Air/Fire/Spirit, Air, V S DF, 1 standard action, 1 hour/level (D); see text, Touch, No and Will negates (harmless), No and Yes (harmless), You and your allies turn vaporous andstravel fast.
Wish,Sor/Wiz 9, Universal/Void/Water/Spirit, , V XP, 1 standard action, See text, See text, See text, Yes, As limited wish; but with fewer limits.
Flame Blade,Drd 2, Evocation/Fire/Water/Earth, Fire, V S DF, 1 standard action, 1 min./level (D), 0 ft., None, Yes, Touch attack deals 1d8 +1/two levels damage.
Undetectable Alignment,Asn 2; Brd 1; Clr 2; Pal 2, Abjuration/Earth/Water, , V S, 1 standard action, 24 hours, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Conceals alignment for 24 hours.
Clairaudience/Clairvoyance,Asn 4; Brd 3; Knowledge 3; Sor/Wiz 3, Divination/Water/Air/Spirit, , V S F/DF, 10 minutes, 1 min./level (D), Long (400 ft. + 40 ft./level), None, No, Hear or see at a distance for 1 min./level.
Sculpt Sound,Brd 3, Transmutation/Water/Spirit, , V S, 1 standard action, 1 hour/level (D), Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Creates new sounds or changes existing ones.
Bless Weapon,Pal 1, Transmutation/Water/Void/Earth/Spirit, , V S, 1 standard action, 1 min./level, Touch, None, No, Weapon strikes true against evil foes.
Disrupting Weapon,Clr 5, Transmutation/Water/Fire/Earth, , V S, 1 standard action, 1 round/level, Touch, Will negates (harmless object); see text, Yes (harmless object), Melee weapon destroys undead.
Transport via Plants,Drd 6, Transmutation/Water/Void/Fire/Earth, , V S, 1 standard action, 1 round, Unlimited, None, No, Move instantly from one plant tosanother ofsthe same kind.
Animal Shapes,Animal 7; Drd 8, Transmutation/Water/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Close (25 ft. + 5 ft./2 levels), None; see text, Yes (harmless), One ally/level polymorphs into chosen animal.
Shadow Walk,Brd 5; Sor/Wiz 6, Illusion/Air/Void/Water/Spirit, , V S, 1 standard action, 1 hour/level (D), Touch, Will negates, Yes, Step into shadow to travel rapidly.
Tongues,Adp 3; Brd 2; Clr 4; Sor/Wiz 3, Divination/Water/Fire, , V M/DF, 1 standard action, 10 min./level, Touch, Will negates (harmless), No, Speak any language.
Purify Food and Drink,Adp 0; Clr 0; Drd 0, Transmutation/Water/Spirit, , V S, 1 standard action, Instantaneous, 10 ft., Will negates (object), Yes (object), Purifies 1 cu. ft./level of food or water.
Overland Flight,Sor/Wiz 5, Transmutation/Water, , V S, , 1 hour/level, Personal, , , You fly at a speed of 40 ft. and canshustlesover long distances.
Secret Chest,Sor/Wiz 5, Conjuration/Earth/Water/Spirit/Air/Fire, , V S F, 10 minutes, Sixty days or until discharged, See text, None, No, Hides expensive chest on EtherealsPlane; yousretrieve it at will.
Poison,Asn 4; Blk 4; Clr 4; Drd 3, Necromancy/Void/Water/Spirit, , V S DF, 1 standard action, Instantaneous; see text, Touch, Fortitude negates; see text, Yes, Touch deals 1d10 Con damage; repeatssin 1 min.
Water Breathing,Clr 3; Drd 3; Sor/Wiz 3; Water 3, Transmutation/Water/Air, , V S M/DF, 1 standard action, 2 hours/level; see text, Touch, Will negates (harmless), Yes (harmless), Subjects can breathe underwater.
Eagle's Splendor  Mass,Brd 6; Clr 6; Sor/Wiz 6, Transmutation/Water, , , , , Close (25 ft. + 5 ft./2 levels), , , As eagle's splendor; affects one subject/level.
Storm of Vengeance,Drd 9; Clr 9, Conjuration/Spirit/Fire/Earth/Water, , V S, 1 round, Concentration (maximum 10 rounds) (D), Long (400 ft. + 40 ft./level), See text, Yes, Storm rains acid; lightning; and hail.
Knock,Sor/Wiz 2, Transmutation/Water/Air, , V, 1 standard action, Instantaneous; see text, Medium (100 ft. + 10 ft./level), None, No, Opens locked or magically sealed door.
Pyrotechnics,Brd 2; Sor/Wiz 2, Transmutation/Fire/Water/Air/Earth, , V S M, 1 standard action, 1d4+1 rounds or 1d4+1 rounds after creatures       leave
      the smoke cloud; see text, Long (400 ft. + 40 ft./level), Will negates or Fortitude negates; see text, Yes or No; see text, Turns fire into blinding light orschoking smoke.
Secure Shelter,Brd 4; Sor/Wiz 4, Conjuration/Fire/Spirit/Earth/Water, , V S M F; see text, 10 minutes, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Creates sturdy cottage.
Speak with Dead,Clr 3, Necromancy/Void/Water/Spirit, Language-Dependent, V S DF, 10 minutes, 1 min./level, 10 ft., Will negates; see text, No, Corpse answers one question/two levels.
Reverse Gravity,Drd 8; Sor/Wiz 7, Transmutation/Water/Air/Fire/Spirit, , V S M/DF, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None; see text, No, Objects and creatures fall upward.
Magic Stone,Clr 1; Drd 1; Earth 1, Transmutation/Water/Earth, , V S DF, 1 standard action, 30 minutes or until discharged, Touch, Will negates (harmless object), Yes (harmless object), Three stones gain +1 on attack rolls;sdeals1d6+1 damage.
Transmute Mud to Rock,Drd 5; Sor/Wiz 5, Transmutation/Water/Earth/Spirit, Earth, V S M/DF, 1 standard action, Permanent, Medium (100 ft. + 10 ft./level), See text, No, Transforms two 10-ft. cubes per level.
Neutralize Poison,Adp 3; Brd 4; Clr 4; Drd 3; Pal 4; Rgr 3, Conjuration/Spirit/Water, , V S M/DF, 1 standard action, 10 min./level, Touch, Will negates (harmless object), Yes (harmless object), Immunizes subject against poison;sdetoxifiessvenom in or on subject.
Cat's Grace,Adp 2; Asn 2; Brd 2; Drd 2; Rgr 2; Sor/Wiz 2, Transmutation/Water/Air, , V S M, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes, Subject gains +4 to Dex for 1 min./level.
Fire Trap,Drd 2; Sor/Wiz 4, Abjuration/Fire/Earth/Water/Spirit, Fire, V S M, 10 minutes, Permanent until discharged (D), Touch, Reflex half; see text, Yes, Opened object deals 1d4 damage +1/level.
Detect Good,Adp 1; Clr 1, Divination/Water/Void/Spirit, , , , , , , , Sense the presence of good.
Cat's Grace  Mass,Brd 6; Drd 6; Sor/Wiz 6, Transmutation/Water, , , , , Close (25 ft. + 5 ft./2 levels), , , As cat's grace; affects one subject/level.
Remove Blindness/Deafness,Clr 3; Pal 3, Conjuration/Spirit/Air/Water, , V S, 1 standard action, Instantaneous, Touch, Fortitude negates (harmless), Yes (harmless), Cures normal or magical conditions.
Magic Fang,Drd 1; Rgr 1, Transmutation/Water/Earth, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), One natural weapon of subject creaturesgetss+1 on attack and damage rolls.
Gate,Clr 9; Sor/Wiz 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S XP; see text, 1 standard action, Instantaneous or concentration (up to 1
      round/level); see text, Medium (100 ft. + 10 ft./level), None, No, Connects two planes for travel or summoning.
Find Traps,Clr 2, Divination/Water, , V S, 1 standard action, 1 min./level, Personal, , , Notice traps as a rogue does.
Righteous Might,Clr 5; Strength 5, Transmutation/Fire/Water/Void/Earth/Spirit, , V S DF, 1 standard action, 1 round/level (D), Personal, , , Your size increases; and you gainscombat bonuses.
Changestaff,Drd 7, Transmutation/Water/Earth/Spirit, , V S F, 1 round, 1 hour/level (D), Touch, None, No, Your staff becomes a treant on command.
Control Water,Clr 4; Drd 4; Sor/Wiz 6; Water 4, Transmutation/Water/Fire, Water, V S M/DF, 1 standard action, 10 min./level (D), Long (400 ft. + 40 ft./level), None; see text, No, Raises or lowers bodies of water.
Spike Growth,Drd 3; Rgr 2, Transmutation/Earth/Water/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Medium (100 ft. + 10 ft./level), Reflex partial, Yes, Creatures in area take 1d4 damage; maysbe slowed.
Moment of Prescience,Luck 8; Sor/Wiz 8, Divination/Water, , V S, 1 standard action, 1 hour/level or until discharged, Personal, , , You gain insight bonus on singlesattacksroll; check; or save.
Make Whole,Clr 2, Transmutation/Earth/Water/Air/Fire, , , 1 standard action, , Close (25 ft. + 5 ft./2 levels), , , Repairs an object.
Hold Portal,Sor/Wiz 1, Abjuration/Earth/Air/Water/Spirit, , V, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Holds door shut.
Animate Rope,Brd 1; Sor/Wiz 1, Transmutation/Water/Fire/Earth, , V S, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), None, No, Makes a rope move at your command.
Ghoul Touch,Sor/Wiz 2, Necromancy/Void/Water/Spirit, , V S M, 1 standard action, 1d6+2 rounds, Touch, Fortitude negates, Yes, Paralyzes one subject; which exudes stEnch
Detect Law,Adp 1; Clr 1, Divination/Water/Void, , , , , , , , Sense the presence of law.
Telekinesis,Sor/Wiz 5, Transmutation/Water/Air/Fire/Earth/Spirit, , V S, 1 standard action, Concentration (up to 1 round/ level) or
      instantaneous; see text, Long (400 ft. + 40 ft./level), Will negates (object) or None; see text, Yes  (object); see text, Moves object; attacks creature; orshurlssobject or creature.
Reincarnate,Drd 4, Transmutation/Earth/Water/Void/Air/Fire/Spirit, , V S M DF, 10 minutes, Instantaneous, Touch, None; see text, Yes (harmless), Brings dead subject back in a random body.
Magic Weapon,Blk 1; Clr 1; Pal 1; Sor/Wiz 1; War 1, Transmutation/Water/Earth, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless object), Yes (harmless object), Weapon gains +1 bonus.
Ethereal Jaunt,Clr 7; Sor/Wiz 7, Transmutation/Earth/Water/Void/Air/Spirit, , V S, 1 standard action, 1 round/level (D), Personal, , , You become ethereal for 1 round/level.
False Vision,Brd 5; Sor/Wiz 5; Trickery 5, Illusion/Air/Water, , V S M, 1 standard action, 1 hour/level (D), Touch, None, No, Fools scrying with an illusion.
Animate Plants,Drd 7; Plant 7, Transmutation/Water/Earth/Spirit, , V, 1 standard action, 1 round/level or 1 hour/level; see text, Close (25 ft. + 5 ft./2 levels), None, No, One or more plants animate and fightsfor you.
Stone Shape,Clr 3; Drd 3; Earth 3; Sor/Wiz 5, Transmutation/Water/Earth, Earth, V S M/DF, 1 standard action, Instantaneous, Touch, None, No, Sculpts stone into any shape.
Curse Water,Clr 1, Necromancy/Water/Void/Spirit, Evil, V S M, 1 minute, Instantaneous, Touch, Will negates (object), Yes  (object), Makes unholy water.
Barkskin,Drd 2; Rgr 2; Plant 2, Transmutation/Water, , V S DF, 1 standard action, 10 min./level, Touch, None, Yes (harmless), Grants +2 (or higher) enhancement tosnatural armor.
Detect Secret Doors,Brd 1; Knowledge 1; Sor/Wiz 1, Divination/Earth/Water/Spirit, , V S, 1 standard action, Concentration up to 1 min./level (D), 60 ft., None, No, Reveals hidden doors within 60 ft.
Arcane Sight,Sor/Wiz 3, Divination/Water/Earth, , V S, 1 standard action, 1 min./level (D), Personal, , , Magical auras become visible to you.
Reduce Person,Sor/Wiz 1, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M, 1 round, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Humanoid creature halves in size.
Analyze Dweomer,Brd 6; Sor/Wiz 6, Divination/Water/Air, , V S F, 1 standard action, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), None or Will negates; see text, No, Reveals magical aspects of subject.
Etherealness,Clr 9; Sor/Wiz 9, Transmutation/Water, , , , 1 min./level (D), Touch; see text, , Yes, Travel to Ethereal Plane with companions.
Prismatic Spray,Sor/Wiz 7, Evocation/Fire/Earth/Water/Spirit, , V S, 1 standard action, Instantaneous, 60 ft., See text, Yes, Rays hit subjects with variety of effects.
Spike Stones,Drd 4; Earth 4, Transmutation/Water/Void/Earth/Spirit, Earth, V S DF, 1 standard action, 1 hour/level (D), Medium (100 ft. + 10 ft./level), Reflex partial, Yes, Creatures in area take 1d8 damage; maysbe slowed.
Remove Disease,Adp 3; Clr 3; Drd 3; Rgr 3, Conjuration/Spirit/Water, , V S, 1 standard action, Instantaneous, Touch, Fortitude negates (harmless), Yes (harmless), Cures all diseases affecting subject.
Restoration  Lesser,Clr 2; Drd 2; Pal 1, Conjuration/Spirit/Water, , V S, 3 rounds, Instantaneous, Touch, Will negates (harmless), Yes (harmless), Dispels magical ability penalty orsrepairss1d4 ability damage.
Foresight,Drd 9; Knowledge 9; Sor/Wiz 9, Divination/Water/Air/Fire/Spirit, , V S M/DF, 1 standard action, 10 min./level, Personal or touch, None or Will negates (harmless), No or Yes (harmless), "Sixth sense" warns ofsimpending danger.
Cure Light Wounds,Adp 1; Blk 1; Brd 1; Clr 1; Drd 1; Healing 1; Pal 1;      Rgr 2, Conjuration/Spirit/Water, , V S, 1 standard action, Instantaneous, Touch, Will half (harmless); see text, Yes (harmless); see text, Cures 1d8 damage +1/level (max +5).
Air Walk,Air 4; Clr 4; Drd 4, Transmutation/Water/Air/Fire/Spirit, Air, V S DF, 1 standard action, 10 min./level, Touch, None, Yes (harmless), Subject treads on air as if solids(climb ats45-degree angle).
Detect Magic,Adp 0; Brd 0; Clr 0; Drd 0; Sor/Wiz 0, Divination/Water/Spirit/Earth, , V S, 1 standard action, Concentration up to 1 min./level (D), 60 ft., None, No, Detects spells and magic items withins60 ft.
Open/Close,Brd 0; Sor/Wiz 0, Transmutation/Water, , V S F, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Opens or closes small or light things.
Wall of Ice,Sor/Wiz 4, Evocation/Fire/Air/Earth/Water/Spirit, Cold, V S M, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Reflex negates; see text, Yes, Ice plane creates wall with 15 hps+1/level;sor hemisphere can trap creatures inside.
Commune with Nature,Animal 5; Drd 5; Rgr 4, Divination/Earth/Water/Spirit, , V S, 10 minutes, Instantaneous, Personal, , , Learn about terrain for 1 mile/level.
Spellstaff,Drd 6, Transmutation/Water/Spirit, , V S F, 10 minutes, Permanent until discharged (D), Touch, Will negates (object), Yes  (object), Stores one spell in wooden quarterstaff.
True Strike,Asn 1; Sor/Wiz 1, Divination/Water/Spirit, , V F, 1 standard action, See text, Personal, , , +20 on your next attack roll.
Baleful Polymorph,Adp 5; Drd 5; Sor/Wiz 5, Transmutation/Water/Air/Fire/Spirit, , V S, 1 standard action, Permanent, Close (25 ft. + 5 ft./2 levels), Fortitude negates Will partial; see text, Yes, Transforms subject into harmless animal.
Permanency,Sor/Wiz 5, Universal/Fire/Void/Air/Water/Spirit, , V S XP, 2 rounds, Permanent; see text, See text, None, No, Makes certain spells permanent.
Cure Moderate Wounds,Adp 2; Blk 2; Brd 2; Clr 2; Drd 3; Healing 2; Pal 3;      Rgr 3, Conjuration/Spirit/Water, , , , , , , , Cures 2d8 damage +1/level (max +10).
Transformation,Sor/Wiz 6, Transmutation/Water/Air/Earth, , V S M, 1 standard action, 1 round/level, Personal, , , You gain combat bonuses.
Bear's Endurance,Adp 2; Clr 2; Drd 2; Rgr 2; Sor/Wiz 2, Transmutation/Water, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes, Subject gains +4 to Con for 1 min./level.
Black Tentacles,Sor/Wiz 4, Conjuration/Earth/Water/Spirit/Air, , V S M, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None, No, Tentacles grapple all within 15 ft. spread.
Bull's Strength  Mass,Clr 6; Drd 6; Sor/Wiz 6, Transmutation/Water/Earth, , , , , Close (25 ft. + 5 ft./2 levels), , , As bull's strength; affects onessubject/ level.
Transmute Metal to Wood,Drd 7, Transmutation/Water/Earth, , V S DF, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), None, Yes  (object; see text), Metal within 40 ft. becomes wood.
Fly,Sor/Wiz 3; Travel 3, Transmutation/Water/Fire/Spirit, , V S F/DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Subject flies at speed of 60 ft.
Animal Growth,Drd 5; Rgr 4; Sor/Wiz 5, Transmutation/Water/Air/Earth/Spirit, , V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Fortitude negates, Yes, One animal/two levels doubles in size.
Cloudkill,Sor/Wiz 5, Conjuration/Water/Spirit/Air, , V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Fortitude partial; see text, No, Kills 3 HD or less; 4-6 HD save orsdie; 6+sHD take Con damage.
Magic Fang  Greater,Drd 3; Rgr 3, Transmutation/Water/Earth, , , , 1 hour/level, Close (25 ft. + 5 ft./2 levels), , , One natural weapon of subject creaturesgetss+1/three caster levels on attack and damage rolls (max +5).
Levitate,Sor/Wiz 2, Transmutation/Water/Earth/Spirit, , V S F, 1 standard action, 1 min./level (D), Personal or close (25 ft. + 5 ft./2 levels), None, No, Subject moves up and down at your direction.
Rusting Grasp,Drd 4, Transmutation/Water/Earth, , V S DF, 1 standard action, See text, Touch, None, No, Your touch corrodes iron and alloys.
Iron Body,Earth 8; Sor/Wiz 8, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M/DF, 1 standard action, 1 min./level (D), Personal, , , Your body becomes living iron.
Obscure Object,Brd 1; Clr 3; Sor/Wiz 2, Abjuration/Earth/Water/Spirit, , V S M/DF, 1 standard action, 8 hours (D), Touch, Will negates (object), Yes  (object), Masks object against scrying.
Arcane Lock,Sor/Wiz 2, Abjuration/Earth/Water/Spirit, , V S M, 1 standard action, Permanent, Touch, None, No, Magically locks a portal or chest.
Bull's Strength,Adp 2; Blk 2; Clr 2; Drd 2; Pal 2; Sor/Wiz 2; Strength 2, Transmutation/Water/Earth, , V S M/DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Subject gains +4 to Str for 1 min./level.
Clone,Sor/Wiz 8, Necromancy/Void/Air/Water/Spirit, , V S M F, 10 minutes, Instantaneous, 0 ft., None, No, Duplicate awakens when original dies.
Detect Thoughts,Brd 2; Knowledge 2; Sor/Wiz 2, Divination/Water/Earth/Spirit, Mind-Affecting, V S F/DF, 1 standard action, Concentration up to 1 min./level (D), 60 ft., Will negates; see text, No, Allows "listening" tossurface thoughts.
Prying Eyes  Greater,Sor/Wiz 8, Divination/Water/Spirit, , , , , , , , As prying eyes; but eyes have true seeing.
Shield Other,Clr 2; Pal 2; Protection 2, Abjuration/Earth/Void/Fire/Water/Spirit, , V S F, 1 standard action, 1 hour/level (D), Close (25 ft. + 5 ft./2 levels), Will negates (harmless), Yes (harmless), You take half of subject's damage.
Erase,Brd 1; Sor/Wiz 1, Transmutation/Water/Air/Fire/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), See text, No, Mundane or magical writing vanishes.
Warp Wood,Drd 2, Transmutation/Water/Air/Fire/Earth/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Bends wood (shaft; handle; door; plank).
Liveoak,Drd 6, Transmutation/Water/Spirit, , V S, 10 minutes, One day/level (D), Touch, None, No, Oak becomes treant guardian.
True Resurrection,Clr 9, Conjuration/Earth/Spirit/Void/Water, , , 10 minutes, , , , , As resurrection; plus remains aren't needed.
Dominate Animal,Animal 3; Drd 3, Enchantment/Air/Water/Spirit, Mind-Affecting, V S, 1 round, 1 round/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Subject animal obeys silent mental commands.
Animal Trance,Adp 2; Brd 2; Drd 2, Enchantment/Air/Water/Spirit, Mind-Affecting; Sonic, V S, 1 standard action, Concentration, Close (25 ft. + 5 ft./2 levels), Will negates; see text, Yes, Fascinates 2d6 HD of animals.
Secret Page,Brd 3; Sor/Wiz 3, Transmutation/Water/Spirit, , V S M, 10 minutes, Permanent, Touch, None, No, Changes one page to hide its real content.
Inflict Light Wounds,Blk 1; Clr 1; Destruction 1, Necromancy/Void/Water/Spirit, , V S, 1 standard action, Instantaneous, Touch, Will half, Yes, Touch attack; 1d8 damage +1/level (max +5).
Prying Eyes,Sor/Wiz 5, Divination/Air/Earth/Water/Void/Spirit, , V S M, 1 minute, 1 hour/level; see text (D), One mile, None, No, 1d4 +1/level floating eyes scout for you.
Shapechange,Animal 9; Drd 9; Sor/Wiz 9, Transmutation/Water, , V S F, 1 standard action, 10 min./level (D), Personal, , , Transforms you into any creature; andschangesforms once per round.
Plant Growth,Drd 3; Plant 3; Rgr 3, Transmutation/Water/Earth, , V S DF, 1 standard action, Instantaneous, See text, None, No, Grows vegetation; improves crops.
Planar Ally  Lesser,Clr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S DF XP, 10 minutes, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Exchange services with a 6 HDsextraplanar creature.
Legend Lore,Brd 4; Knowledge 7; Sor/Wiz 6, Divination/Water/Spirit, , V S M F, See text, See text, Personal, , , Lets you learn tales about a person;splace;sor thing.
Disguise Self,Asn 1; Brd 1; Sor/Wiz 1; Trickery 1, Illusion/Air/Earth/Water/Spirit, , V S, 1 standard action, 10 min./level (D), Personal, , , Changes your appearance.
Control Winds,Air 5; Drd 5, Transmutation/Water/Air/Fire/Earth, Air, V S, 1 standard action, 10 min./level, 40 ft./level, Fortitude negates, No, Change wind direction and speed.
Stone to Flesh,Sor/Wiz 6, Transmutation/Water/Earth/Spirit, , V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Fortitude negates (object); see text, Yes, Restores petrified creature.
Snare,Rgr 2; Drd 3, Transmutation/Water/Earth, , V S DF, 3 rounds, Until triggered or broken, Touch, None, No, Creates a magic booby trap.
Cure Minor Wounds,Adp 0; Clr 0; Drd 0, Conjuration/Spirit/Water, , , , , , , , Cures 1 point of damage.
Create Food and Water,Clr 3, Conjuration/Water/Spirit, , V S, 10 minutes, 24 hours; see text, Close (25 ft. + 5 ft./2 levels), None, No, Feeds three humans (or one horse)/level.
Enlarge Person,Sor/Wiz 1; Strength 1, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M, 1 round, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Humanoid creature doubles in size.
Divination,Clr 4; Knowledge 4, Divination/Water, , V S M, 10 minutes, Instantaneous , Personal, , , Provides useful advice for specificsproposed actions.
Soften Earth and Stone,Drd 2; Earth 2, Transmutation/Earth/Water/Air/Spirit, Earth, V S DF, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Turns stone to clay or dirt to sand or mud.
Break Enchantment,Adp 5; Brd 4; Clr 5; Luck 5; Pal 4; Sor/Wiz 5, Abjuration/Air/Earth/Water/Spirit, , V S, 1 minute, Instantaneous, Close (25 ft. + 5 ft./2 levels), See text, No, Frees subjects from enchantments;salterations; curses; and petrification.
Expeditious Retreat,Brd 1; Sor/Wiz 1, Transmutation/Water, , V S, 1 standard action, 1 min./level (D), Personal, , , Your speed increases by 30 ft.
Slow,Brd 3; Sor/Wiz 3, Transmutation/Water/Spirit, , V S M, 1 standard action, 1 round/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, One subject/level takes only onesaction/round; -2 to AC; -2 on attack rolls.
Detect Undead,Clr 1; Pal 1; Sor/Wiz 1, Divination/Water/Earth/Spirit, , V S M/DF, 1 standard action, Concentration up to 1 minute/ level (D), 60 ft., None, No, Reveals undead within 60 ft.
Owl's Wisdom  Mass,Clr 6; Drd 6; Sor/Wiz 6, Transmutation/Water/Air, , , , , Close (25 ft. + 5 ft./2 levels), , , As owl's wisdom; affects one subject/ level.
Giant Vermin,Clr 4; Drd 4, Transmutation/Water/Fire, , V S DF, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), None, Yes, Turns centipedes; scorpions; orsspiders intosgiant vermin.
Elemental Swarm,Air 9; Drd 9; Earth 9; Fire 9; Water 9, Conjuration/Fire/Earth/Water/Spirit/Air, , V S, 10 minutes, 10 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Summons multiple elementals.
Summon Monster IX,Chaos 9; Clr 9; Evil 9; Good 9; Law 9; Sor/Wiz 9, Conjuration/Fire/Water/Spirit/Void/Air, , , , , , , , Calls extraplanar creature to fightsfor you.
Nightmare,Brd 5; Sor/Wiz 5, Illusion/Air/Void/Fire/Water/Spirit, Mind-Affecting; Evil, V S, 10 minutes, Instantaneous, Unlimited, Will negates; see text, Yes, Sends vision dealing 1d10 damage; fatigue.
Mage's Lucubration,Wiz 6, Transmutation/Water/Spirit, , V S, 1 standard action, Instantaneous, Personal, , , Wizard only. Recalls spell of 5thslevel or lower.
Detect Chaos,Adp 1; Clr 1, Divination/Water/Void, , , , , , , , Sense the presence of chaos.
Screen,Sor/Wiz 8; Trickery 7, Illusion/Air/Earth/Water/Spirit, , V S, 10 minutes, 24 hours, Close (25 ft. + 5 ft./2 levels), None or Will disbelief (if interacted       with); see text, No, Illusion hides area from vision; scrying.
Flesh to Stone,Sor/Wiz 6, Transmutation/Water/Void, , V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Fortitude negates, Yes, Turns subject creature into statue.
Mnemonic Enhancer,Wiz 4, Transmutation/Water/Spirit, , V S M F, 10 minutes, Instantaneous, Personal, , , Wizard only. Prepares extra spells orsretains one just cast.
